,DC01,DC02,DC03,DC04,DC05,DC06,DC07,DC08,DC09,DC10,DC11,DC12,DC13,DC14,DC15,DC16,DC17,DC18,DC19,DC20,DC21,DC22,DC23,DC24,DC25,DC26,DC27,DC28,DC29,DC30,DC31,DC32,DC33,DC34,DC35,DC36,DC37,DC38,DC39,DC40,DC41,DC42,DC43,DC44,DC45,DC46,DC47,DC48,DC49,DC50,DC51,DC52,DC53,DC54,DC55,DC56,DC57,DC58,DC59,DC60,DC61,DC62,DC63,DC64,DC65,DC66,DC67,DC68,DC69,DC70,DC71,DC72,DC73,DC74,DC75,DC76,DC77,DC78,DC79,DC80,DC81,DC82,DC83,DC84,DC85,DC86,DC87,DC88,DC89,DC90,DC91,DC92,DC93,DC94,DC95
DC70,0.0,3.0,17.0,0.0,22.0,25.0,32.0,0.0,22.0,20.0,0.0,4.0,0.0,0.0,5.0,25.0,16.0,24.0,27.0,4.0,29.0,4.0,6.0,0.0,0.0,15.0,0.0,31.0,3.0,4.0,5.0,12.0,19.0,29.0,4.0,20.0,13.0,23.0,5.0,7.0,11.0,29.0,22.0,23.0,13.0,27.0,30.0,7.0,17.0,4.0,14.0,19.0,25.0,25.0,25.0,30.0,18.0,6.0,33.0,4.0,3.0,31.0,28.0,5.0,6.0,21.0,4.0,22.0,26.0,40.0,3.0,11.0,16.0,18.0,7.0,12.0,24.0,2.0,5.0,5.0,14.0,26.0,5.0,5.0,9.0,0.0,25.0,29.0,3.0,4.0,7.0,28.0,18.0,24.0,7.0
DC71,3.0,18.0,15.0,2.0,7.0,6.0,3.0,2.0,11.0,8.0,2.0,19.0,2.0,3.0,19.0,9.0,15.0,8.0,6.0,14.0,4.0,21.0,15.0,2.0,2.0,14.0,2.0,5.0,17.0,15.0,14.0,14.0,12.0,7.0,18.0,7.0,14.0,10.0,23.0,21.0,11.0,5.0,10.0,10.0,11.0,5.0,6.0,15.0,8.0,23.0,16.0,11.0,8.0,10.0,8.0,5.0,14.0,20.0,2.0,17.0,18.0,3.0,6.0,13.0,14.0,13.0,18.0,10.0,8.0,3.0,40.0,15.0,14.0,12.0,15.0,16.0,10.0,21.0,11.0,20.0,15.0,6.0,18.0,20.0,18.0,16.0,8.0,8.0,22.0,18.0,19.0,9.0,7.0,7.0,19.0
DC72,0.0,13.0,10.0,1.0,12.0,12.0,9.0,0.0,11.0,9.0,0.0,15.0,0.0,0.0,22.0,12.0,21.0,10.0,13.0,20.0,12.0,16.0,16.0,0.0,0.0,13.0,0.0,8.0,22.0,19.0,19.0,16.0,11.0,12.0,24.0,10.0,20.0,13.0,23.0,21.0,14.0,11.0,13.0,11.0,14.0,7.0,10.0,20.0,10.0,15.0,16.0,14.0,11.0,10.0,11.0,7.0,15.0,24.0,10.0,16.0,15.0,6.0,8.0,17.0,22.0,13.0,17.0,9.0,11.0,11.0,15.0,40.0,14.0,10.0,19.0,15.0,18.0,17.0,26.0,18.0,21.0,9.0,18.0,21.0,19.0,16.0,7.0,10.0,14.0,21.0,20.0,15.0,13.0,17.0,18.0
DC73,0.0,7.0,18.0,0.0,14.0,15.0,19.0,1.0,15.0,19.0,0.0,6.0,0.0,0.0,14.0,20.0,16.0,20.0,15.0,10.0,15.0,8.0,4.0,0.0,0.0,16.0,0.0,15.0,11.0,5.0,12.0,15.0,24.0,20.0,10.0,14.0,11.0,18.0,16.0,10.0,10.0,17.0,17.0,16.0,14.0,21.0,18.0,16.0,19.0,11.0,17.0,18.0,16.0,21.0,20.0,16.0,15.0,12.0,16.0,10.0,9.0,17.0,17.0,6.0,12.0,17.0,10.0,21.0,15.0,16.0,14.0,14.0,40.0,14.0,19.0,14.0,17.0,12.0,8.0,10.0,13.0,17.0,8.0,10.0,11.0,9.0,18.0,18.0,5.0,9.0,7.0,15.0,15.0,17.0,11.0
DC74,1.0,3.0,17.0,0.0,19.0,16.0,18.0,0.0,22.0,16.0,0.0,9.0,0.0,0.0,7.0,14.0,15.0,13.0,16.0,12.0,22.0,8.0,11.0,0.0,0.0,25.0,0.0,21.0,8.0,6.0,7.0,19.0,21.0,16.0,9.0,17.0,11.0,20.0,11.0,10.0,18.0,15.0,16.0,15.0,18.0,16.0,19.0,11.0,18.0,9.0,19.0,15.0,22.0,21.0,19.0,14.0,15.0,10.0,21.0,3.0,8.0,20.0,20.0,10.0,7.0,17.0,9.0,17.0,17.0,18.0,12.0,10.0,14.0,40.0,15.0,16.0,12.0,7.0,9.0,6.0,16.0,16.0,5.0,8.0,9.0,7.0,18.0,21.0,9.0,6.0,10.0,16.0,14.0,20.0,12.0
DC75,0.0,13.0,10.0,1.0,9.0,10.0,9.0,0.0,8.0,9.0,0.0,19.0,0.0,0.0,20.0,9.0,19.0,10.0,13.0,25.0,14.0,14.0,16.0,0.0,0.0,19.0,0.0,10.0,23.0,16.0,19.0,23.0,13.0,12.0,22.0,11.0,15.0,16.0,21.0,10.0,15.0,11.0,13.0,8.0,17.0,9.0,7.0,20.0,18.0,19.0,15.0,16.0,12.0,6.0,9.0,7.0,13.0,18.0,9.0,12.0,18.0,7.0,10.0,19.0,20.0,9.0,22.0,7.0,8.0,7.0,15.0,19.0,19.0,15.0,40.0,14.0,11.0,15.0,22.0,15.0,18.0,13.0,17.0,20.0,17.0,20.0,14.0,15.0,14.0,19.0,11.0,11.0,19.0,14.0,25.0
DC76,1.0,9.0,17.0,1.0,13.0,12.0,9.0,0.0,16.0,12.0,0.0,13.0,0.0,0.0,8.0,17.0,16.0,13.0,19.0,13.0,11.0,11.0,14.0,0.0,0.0,17.0,0.0,12.0,15.0,13.0,11.0,18.0,17.0,13.0,12.0,17.0,12.0,13.0,25.0,11.0,19.0,12.0,18.0,16.0,21.0,11.0,13.0,16.0,17.0,12.0,16.0,17.0,17.0,17.0,13.0,13.0,17.0,12.0,11.0,8.0,8.0,13.0,14.0,12.0,13.0,15.0,13.0,14.0,13.0,12.0,16.0,15.0,14.0,16.0,14.0,40.0,16.0,13.0,13.0,10.0,14.0,14.0,9.0,11.0,12.0,10.0,14.0,14.0,17.0,10.0,14.0,16.0,14.0,15.0,16.0
DC77,0.0,6.0,12.0,1.0,23.0,25.0,22.0,0.0,17.0,19.0,0.0,9.0,0.0,0.0,10.0,23.0,23.0,16.0,21.0,12.0,20.0,9.0,9.0,0.0,0.0,15.0,0.0,25.0,7.0,12.0,10.0,11.0,18.0,23.0,9.0,19.0,16.0,25.0,15.0,10.0,8.0,21.0,17.0,21.0,20.0,18.0,18.0,9.0,14.0,9.0,17.0,16.0,17.0,21.0,20.0,22.0,18.0,13.0,21.0,5.0,4.0,19.0,23.0,9.0,13.0,17.0,7.0,19.0,24.0,24.0,10.0,18.0,17.0,12.0,11.0,16.0,40.0,7.0,8.0,7.0,15.0,17.0,8.0,6.0,11.0,4.0,18.0,23.0,11.0,9.0,12.0,22.0,20.0,22.0,12.0
DC78,0.0,24.0,11.0,1.0,7.0,7.0,3.0,0.0,5.0,8.0,0.0,23.0,0.0,1.0,26.0,8.0,9.0,5.0,7.0,21.0,2.0,24.0,21.0,0.0,0.0,9.0,0.0,0.0,20.0,22.0,22.0,16.0,7.0,6.0,24.0,8.0,15.0,6.0,17.0,20.0,12.0,4.0,13.0,8.0,10.0,3.0,4.0,22.0,9.0,22.0,12.0,5.0,5.0,5.0,5.0,4.0,11.0,18.0,1.0,23.0,23.0,2.0,3.0,20.0,16.0,11.0,21.0,6.0,4.0,2.0,21.0,17.0,12.0,7.0,15.0,13.0,7.0,40.0,17.0,27.0,19.0,6.0,21.0,24.0,17.0,23.0,3.0,7.0,20.0,23.0,21.0,8.0,9.0,6.0,14.0
DC79,0.0,20.0,6.0,1.0,8.0,7.0,3.0,1.0,6.0,4.0,0.0,23.0,0.0,0.0,24.0,6.0,15.0,7.0,10.0,28.0,8.0,22.0,21.0,0.0,0.0,9.0,0.0,4.0,30.0,26.0,25.0,19.0,5.0,5.0,28.0,6.0,17.0,8.0,20.0,20.0,17.0,6.0,9.0,5.0,15.0,3.0,5.0,20.0,11.0,20.0,10.0,9.0,6.0,4.0,8.0,2.0,12.0,19.0,5.0,23.0,24.0,2.0,4.0,30.0,26.0,8.0,26.0,4.0,1.0,5.0,11.0,26.0,8.0,9.0,22.0,13.0,8.0,17.0,40.0,21.0,15.0,6.0,23.0,20.0,24.0,30.0,4.0,6.0,19.0,25.0,16.0,8.0,11.0,10.0,26.0
DC80,0.0,22.0,10.0,1.0,7.0,11.0,6.0,1.0,7.0,4.0,0.0,23.0,0.0,1.0,22.0,6.0,6.0,11.0,6.0,19.0,5.0,22.0,19.0,0.0,0.0,8.0,0.0,5.0,24.0,20.0,20.0,16.0,5.0,9.0,21.0,8.0,14.0,9.0,17.0,21.0,11.0,6.0,11.0,2.0,10.0,6.0,4.0,17.0,8.0,19.0,10.0,8.0,6.0,5.0,5.0,7.0,13.0,19.0,3.0,22.0,24.0,3.0,3.0,20.0,20.0,8.0,20.0,5.0,7.0,5.0,20.0,18.0,10.0,6.0,15.0,10.0,7.0,27.0,21.0,40.0,17.0,9.0,24.0,26.0,21.0,23.0,3.0,7.0,23.0,22.0,20.0,7.0,6.0,7.0,18.0
DC81,0.0,12.0,12.0,1.0,13.0,12.0,12.0,1.0,8.0,16.0,0.0,18.0,0.0,1.0,17.0,11.0,17.0,7.0,16.0,17.0,13.0,19.0,14.0,0.0,0.0,15.0,0.0,13.0,20.0,14.0,15.0,11.0,11.0,13.0,17.0,12.0,15.0,15.0,21.0,15.0,12.0,11.0,12.0,14.0,14.0,13.0,11.0,17.0,9.0,15.0,14.0,15.0,17.0,10.0,12.0,10.0,12.0,11.0,13.0,13.0,14.0,11.0,12.0,14.0,15.0,8.0,15.0,15.0,12.0,14.0,15.0,21.0,13.0,16.0,18.0,14.0,15.0,19.0,15.0,17.0,40.0,10.0,16.0,12.0,12.0,14.0,13.0,14.0,14.0,17.0,14.0,17.0,9.0,19.0,17.0
DC82,0.0,3.0,18.0,0.0,20.0,24.0,29.0,0.0,20.0,17.0,0.0,6.0,0.0,0.0,7.0,22.0,15.0,25.0,23.0,7.0,30.0,4.0,5.0,0.0,0.0,20.0,0.0,26.0,4.0,3.0,4.0,18.0,16.0,26.0,5.0,17.0,9.0,23.0,10.0,7.0,10.0,22.0,23.0,22.0,11.0,23.0,24.0,11.0,21.0,7.0,16.0,20.0,25.0,20.0,20.0,33.0,20.0,8.0,28.0,4.0,6.0,27.0,21.0,9.0,9.0,18.0,8.0,20.0,24.0,26.0,6.0,9.0,17.0,16.0,13.0,14.0,17.0,6.0,6.0,9.0,10.0,40.0,5.0,10.0,7.0,4.0,26.0,27.0,7.0,5.0,8.0,24.0,20.0,20.0,7.0
DC83,0.0,26.0,6.0,1.0,6.0,3.0,1.0,1.0,4.0,8.0,0.0,22.0,0.0,0.0,23.0,6.0,12.0,3.0,4.0,19.0,4.0,29.0,26.0,0.0,0.0,9.0,0.0,2.0,25.0,25.0,21.0,13.0,7.0,3.0,18.0,7.0,21.0,6.0,16.0,24.0,14.0,0.0,7.0,5.0,12.0,7.0,5.0,16.0,7.0,24.0,10.0,8.0,2.0,2.0,5.0,2.0,13.0,19.0,4.0,22.0,22.0,4.0,2.0,23.0,25.0,5.0,24.0,5.0,5.0,5.0,18.0,18.0,8.0,5.0,17.0,9.0,8.0,21.0,23.0,24.0,16.0,5.0,40.0,22.0,24.0,26.0,5.0,3.0,27.0,26.0,21.0,5.0,9.0,6.0,24.0
DC84,1.0,19.0,11.0,1.0,9.0,8.0,5.0,0.0,10.0,4.0,0.0,19.0,0.0,1.0,20.0,8.0,10.0,8.0,4.0,17.0,7.0,20.0,25.0,0.0,0.0,12.0,0.0,4.0,22.0,20.0,22.0,14.0,9.0,8.0,20.0,10.0,14.0,9.0,16.0,22.0,16.0,4.0,14.0,4.0,11.0,5.0,6.0,19.0,14.0,23.0,15.0,10.0,6.0,5.0,6.0,6.0,12.0,25.0,5.0,23.0,22.0,4.0,5.0,21.0,20.0,7.0,22.0,6.0,8.0,5.0,20.0,21.0,10.0,8.0,20.0,11.0,6.0,24.0,20.0,26.0,12.0,10.0,22.0,40.0,20.0,23.0,8.0,5.0,21.0,24.0,22.0,8.0,13.0,9.0,17.0
DC85,0.0,20.0,10.0,0.0,10.0,9.0,7.0,0.0,10.0,5.0,0.0,19.0,0.0,1.0,22.0,8.0,15.0,10.0,9.0,22.0,8.0,23.0,20.0,0.0,0.0,12.0,0.0,9.0,21.0,24.0,23.0,18.0,11.0,9.0,17.0,7.0,21.0,10.0,14.0,25.0,11.0,6.0,5.0,5.0,11.0,6.0,7.0,22.0,9.0,23.0,9.0,13.0,6.0,6.0,7.0,9.0,12.0,21.0,7.0,22.0,22.0,4.0,6.0,22.0,25.0,7.0,21.0,8.0,8.0,9.0,18.0,19.0,11.0,9.0,17.0,12.0,11.0,17.0,24.0,21.0,12.0,7.0,24.0,20.0,40.0,23.0,7.0,8.0,25.0,25.0,17.0,7.0,11.0,9.0,21.0
DC86,2.0,23.0,7.0,3.0,5.0,3.0,0.0,3.0,6.0,4.0,2.0,22.0,2.0,3.0,23.0,5.0,12.0,3.0,4.0,26.0,3.0,25.0,22.0,2.0,2.0,8.0,2.0,1.0,27.0,25.0,24.0,13.0,6.0,4.0,25.0,5.0,14.0,5.0,17.0,21.0,15.0,2.0,7.0,3.0,12.0,3.0,2.0,20.0,10.0,25.0,8.0,3.0,4.0,2.0,6.0,0.0,10.0,18.0,1.0,25.0,26.0,0.0,2.0,28.0,23.0,7.0,27.0,5.0,1.0,0.0,16.0,16.0,9.0,7.0,20.0,10.0,4.0,23.0,30.0,23.0,14.0,4.0,26.0,23.0,23.0,40.0,4.0,4.0,22.0,27.0,16.0,4.0,9.0,6.0,22.0
DC87,0.0,4.0,21.0,0.0,17.0,22.0,27.0,0.0,24.0,22.0,0.0,5.0,0.0,0.0,6.0,23.0,14.0,22.0,19.0,5.0,26.0,3.0,6.0,0.0,0.0,24.0,0.0,26.0,4.0,4.0,6.0,15.0,22.0,26.0,2.0,21.0,5.0,21.0,8.0,5.0,11.0,24.0,21.0,23.0,14.0,24.0,29.0,10.0,20.0,6.0,18.0,22.0,28.0,22.0,24.0,27.0,19.0,10.0,24.0,5.0,4.0,29.0,23.0,7.0,9.0,19.0,5.0,22.0,23.0,25.0,8.0,7.0,18.0,18.0,14.0,14.0,18.0,3.0,4.0,3.0,13.0,26.0,5.0,8.0,7.0,4.0,40.0,24.0,5.0,5.0,9.0,25.0,18.0,24.0,9.0
DC88,0.0,1.0,20.0,0.0,20.0,24.0,29.0,0.0,20.0,17.0,0.0,5.0,0.0,0.0,6.0,22.0,19.0,19.0,25.0,10.0,29.0,7.0,6.0,0.0,0.0,22.0,0.0,26.0,4.0,3.0,6.0,14.0,17.0,27.0,8.0,17.0,12.0,22.0,11.0,4.0,12.0,27.0,21.0,27.0,19.0,23.0,24.0,12.0,21.0,11.0,19.0,16.0,25.0,22.0,22.0,27.0,17.0,10.0,26.0,2.0,10.0,25.0,21.0,6.0,8.0,21.0,6.0,21.0,26.0,29.0,8.0,10.0,18.0,21.0,15.0,14.0,23.0,7.0,6.0,7.0,14.0,27.0,3.0,5.0,8.0,4.0,24.0,40.0,5.0,2.0,7.0,25.0,14.0,25.0,11.0
DC89,1.0,19.0,9.0,1.0,11.0,5.0,2.0,0.0,10.0,5.0,0.0,23.0,0.0,1.0,18.0,8.0,11.0,7.0,8.0,23.0,4.0,24.0,23.0,0.0,0.0,9.0,0.0,4.0,20.0,22.0,19.0,18.0,10.0,5.0,15.0,11.0,18.0,10.0,18.0,23.0,18.0,4.0,8.0,5.0,17.0,5.0,5.0,15.0,8.0,21.0,13.0,7.0,1.0,6.0,6.0,5.0,13.0,18.0,1.0,15.0,18.0,1.0,4.0,22.0,19.0,7.0,19.0,8.0,7.0,3.0,22.0,14.0,5.0,9.0,14.0,17.0,11.0,20.0,19.0,23.0,14.0,7.0,27.0,21.0,25.0,22.0,5.0,5.0,40.0,23.0,20.0,7.0,11.0,6.0,23.0
DC90,0.0,25.0,8.0,1.0,10.0,8.0,3.0,0.0,4.0,5.0,0.0,21.0,0.0,1.0,22.0,7.0,14.0,8.0,6.0,22.0,7.0,21.0,18.0,0.0,0.0,7.0,0.0,4.0,28.0,26.0,28.0,15.0,8.0,4.0,23.0,6.0,22.0,6.0,16.0,21.0,16.0,4.0,5.0,3.0,10.0,4.0,2.0,16.0,9.0,20.0,8.0,12.0,4.0,2.0,6.0,2.0,14.0,20.0,4.0,25.0,23.0,3.0,5.0,24.0,21.0,6.0,24.0,8.0,3.0,4.0,18.0,21.0,9.0,6.0,19.0,10.0,9.0,23.0,25.0,22.0,17.0,5.0,26.0,24.0,25.0,27.0,5.0,2.0,23.0,40.0,24.0,6.0,12.0,9.0,21.0
DC91,0.0,21.0,12.0,0.0,13.0,15.0,6.0,0.0,12.0,4.0,0.0,21.0,0.0,1.0,18.0,10.0,17.0,11.0,9.0,12.0,8.0,17.0,20.0,0.0,0.0,15.0,0.0,7.0,18.0,21.0,19.0,16.0,12.0,8.0,14.0,11.0,20.0,12.0,17.0,23.0,15.0,7.0,11.0,8.0,14.0,6.0,8.0,13.0,10.0,18.0,13.0,12.0,8.0,9.0,8.0,7.0,19.0,21.0,7.0,18.0,23.0,8.0,8.0,17.0,17.0,13.0,15.0,7.0,7.0,7.0,19.0,20.0,7.0,10.0,11.0,14.0,12.0,21.0,16.0,20.0,14.0,8.0,21.0,22.0,17.0,16.0,9.0,7.0,20.0,24.0,40.0,8.0,14.0,6.0,16.0
DC92,0.0,4.0,18.0,0.0,17.0,23.0,27.0,0.0,17.0,21.0,0.0,9.0,0.0,0.0,9.0,27.0,14.0,17.0,22.0,8.0,24.0,7.0,8.0,0.0,0.0,19.0,0.0,25.0,7.0,6.0,6.0,17.0,16.0,25.0,10.0,16.0,12.0,21.0,12.0,7.0,9.0,28.0,24.0,21.0,13.0,22.0,29.0,14.0,16.0,8.0,18.0,20.0,25.0,20.0,24.0,24.0,15.0,10.0,26.0,4.0,8.0,24.0,23.0,8.0,11.0,20.0,7.0,18.0,23.0,28.0,9.0,15.0,15.0,16.0,11.0,16.0,22.0,8.0,8.0,7.0,17.0,24.0,5.0,8.0,7.0,4.0,25.0,25.0,7.0,6.0,8.0,40.0,16.0,24.0,9.0
DC93,0.0,10.0,11.0,1.0,22.0,18.0,19.0,0.0,13.0,18.0,0.0,11.0,0.0,0.0,10.0,23.0,22.0,17.0,23.0,16.0,18.0,5.0,15.0,0.0,0.0,14.0,0.0,19.0,8.0,15.0,13.0,22.0,23.0,19.0,10.0,22.0,14.0,19.0,12.0,7.0,19.0,19.0,16.0,13.0,20.0,13.0,18.0,12.0,18.0,8.0,11.0,15.0,13.0,12.0,21.0,21.0,14.0,11.0,18.0,9.0,6.0,17.0,19.0,14.0,13.0,14.0,10.0,11.0,13.0,18.0,7.0,13.0,15.0,14.0,19.0,14.0,20.0,9.0,11.0,6.0,9.0,20.0,9.0,13.0,11.0,9.0,18.0,14.0,11.0,12.0,14.0,16.0,40.0,12.0,12.0
DC94,0.0,4.0,14.0,1.0,17.0,26.0,23.0,0.0,17.0,19.0,0.0,5.0,0.0,0.0,6.0,23.0,16.0,22.0,18.0,10.0,28.0,6.0,5.0,0.0,0.0,23.0,0.0,25.0,9.0,7.0,9.0,11.0,16.0,22.0,11.0,15.0,10.0,22.0,13.0,8.0,11.0,24.0,19.0,21.0,14.0,20.0,23.0,13.0,21.0,10.0,22.0,23.0,27.0,17.0,21.0,17.0,17.0,12.0,25.0,5.0,8.0,23.0,20.0,9.0,9.0,16.0,7.0,19.0,26.0,24.0,7.0,17.0,17.0,20.0,14.0,15.0,22.0,6.0,10.0,7.0,19.0,20.0,6.0,9.0,9.0,6.0,24.0,25.0,6.0,9.0,6.0,24.0,12.0,40.0,11.0
DC95,1.0,18.0,9.0,1.0,7.0,8.0,4.0,1.0,9.0,10.0,0.0,21.0,0.0,0.0,20.0,9.0,19.0,7.0,12.0,23.0,6.0,23.0,20.0,0.0,0.0,12.0,0.0,3.0,25.0,20.0,23.0,20.0,10.0,6.0,18.0,8.0,17.0,9.0,22.0,14.0,16.0,5.0,7.0,9.0,19.0,7.0,4.0,17.0,10.0,23.0,15.0,14.0,5.0,4.0,9.0,4.0,14.0,20.0,4.0,15.0,19.0,5.0,4.0,24.0,22.0,8.0,19.0,6.0,5.0,7.0,19.0,18.0,11.0,12.0,25.0,16.0,12.0,14.0,26.0,18.0,17.0,7.0,24.0,17.0,21.0,22.0,9.0,11.0,23.0,21.0,16.0,9.0,12.0,11.0,40.0
